rainfall,river_level,temperature,humidity,elevation,soil_moisture,historical_flood,flood_probability
2,2.1,32,55,180,0.18,0,8
5,2.8,31,60,165,0.22,0,12
8,3.2,30,65,150,0.28,0,18
12,3.8,29,70,140,0.35,0,25
18,4.5,29,74,135,0.42,0,32
25,5.1,28,78,130,0.50,1,45
32,5.8,28,82,125,0.58,1,55
40,6.5,27,85,120,0.65,1,65
48,7.2,27,88,115,0.72,1,74
55,7.8,26,90,110,0.78,1,82
65,8.5,26,93,105,0.84,1,90
75,9.2,25,95,100,0.90,1,96
10,3.5,33,68,200,0.25,0,20
20,4.8,30,76,145,0.45,0,35
35,6.0,28,84,118,0.62,1,58
50,7.5,27,89,108,0.75,1,78
70,9.0,25,94,98,0.88,1,94
